level1_name,level1_id,level2_name,level2_id,level3_name,level3_id,level4_name,level4_id,cat
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Indonesian Restaurants,4deefc054765f83613cdba6f,Sundanese Restaurants,52960eda3cf9994f4e043ac6,Sundanese Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Indonesian Restaurants,4deefc054765f83613cdba6f,-,-,Indonesian Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Donburi Restaurants,55a59bace4b013909087cb0c,Donburi Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Japanese Curry Restaurants,55a59bace4b013909087cb30,Japanese Curry Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Kaiseki Restaurants,55a59bace4b013909087cb21,Kaiseki Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Kushikatsu Restaurants,55a59bace4b013909087cb06,Kushikatsu Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Monjayaki Restaurants,55a59bace4b013909087cb1b,Monjayaki Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Nabe Restaurants,55a59bace4b013909087cb1e,Nabe Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Okonomiyaki Restaurants,55a59bace4b013909087cb18,Okonomiyaki Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Ramen Restaurants,55a59bace4b013909087cb24,Ramen Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Shabu-Shabu Restaurants,55a59bace4b013909087cb15,Shabu-Shabu Restaurants
Food,4d4b7105d754a06374d81259,Asian Restaurants,4bf58dd8d48988d142941735,Japanese Restaurants,4bf58dd8d48988d111941735,Soba Restaurants,55a59bace4b013909087cb27,Soba Restaurants
